Country Name,GDP per capita,CO2 emissions,Total greenhouse gas emissions,Forest area,"Population, total",Methane emissions
Algeria,3354.153164,3.71822337,266702.6795,0.81830896,43451666,86543.92362
American Samoa,15609.77722,..,..,85.65,46189,..
Angola,1450.905112,0.592742968,70781.0562,53.42695115,33428486,32703.23811
Antigua and Barbuda,15224.85859,5.121730122,1203.631334,18.45454545,92664,204.865822
Argentina,8500.837939,3.40561754,361433.0173,10.44071488,45376763,131035.6894
Aruba,24008.12782,..,..,2.333333333,106585,..
Australia,51868.24756,14.77613691,571903.1199,17.42131456,25649248,131484.7632
"Bahamas, The",23998.26802,6.042251477,2801.144379,50.93506494,406471,223.17922
Bahrain,23433.18724,21.97690781,54151.41004,0.891719745,1477469,17641.43403
Barbados,16882.50152,3.904871158,3656.467698,14.65116279,280693,2359.570952
Belize,5185.15807,1.741107715,1573.319685,55.98640947,394921,514.044829
Benin,1240.733155,0.631204806,16190.53196,27.80374246,12643123,4029.619412
Bermuda,107791.8864,..,..,18.51851852,63893,..
Bolivia,3068.812555,1.539464696,55203.08943,46.92491461,11936162,26597.78542
Botswana,5875.070606,2.263463114,12374.76398,26.91705045,2546402,3434.49382
Brazil,6923.699912,1.942523356,1064709.126,59.41747805,213196304,449213.973
British Virgin Islands,..,..,..,24.13333333,30910,..
Brunei Darussalam,27179.35289,21.70581244,11914.03262,72.10626186,441725,1538.873884
Burkina Faso,823.5524109,0.253533189,32262.81629,22.72076023,21522626,15408.27314
Burundi,216.8274175,0.058384022,4102.678292,10.8894081,12220227,1258.19152
Cabo Verde,3126.399859,1.065151723,791.61071,11.34491315,582640,93.207601
Cambodia,1577.91174,1.137583659,42363.17878,45.7079651,16396860,17836.42554
Cameroon,1539.130545,0.374782658,93348.64392,43.02951069,26491087,17797.74545
Canada,43349.67786,13.59937492,677709.2227,38.69551251,38007166,100143.3855
Cayman Islands,83897.50544,..,..,53,67311,..
Central African Republic,435.4692478,0.044282073,21016.37573,35.80050724,5343020,10108.5047
Chad,643.7722157,0.094228187,89558.45681,3.425190597,16644701,59438.92298
Chile,13173.78479,4.395151064,106722.3342,24.49215367,19300315,11795.5356
China,10408.71955,7.756137907,12942868.34,23.4313229,1411100000,1186285.181
Colombia,5304.289129,1.552259423,186999.3355,53.30501127,50930662,77156.40012
Comoros,1519.58678,0.407112183,619.946774,17.68941429,806166,236.81787
"Congo, Dem. Rep.",524.6666862,0.032584781,56120.40776,55.64731259,92853164,35684.20937
"Congo, Rep.",2011.269479,1.25459167,19421.77959,64.26354319,5702174,9957.260368
Costa Rica,12179.25667,1.35999555,14405.0866,59.43732863,5123105,4650.441149
Cote d'Ivoire,2349.069882,0.406347357,26412.28115,8.920471698,26811790,7980.365269
Cuba,9499.572504,2.152769678,38558.67367,31.23314066,11300698,10377.33169
Curacao,16356.09333,..,..,0.157657658,154947,..
Djibouti,2921.738706,0.392329171,1394.763044,0.250215703,1090156,659.922854
Dominica,7003.469891,2.261268144,230.526372,63.82666667,71995,43.872314
Dominican Republic,7167.914974,2.080181722,37052.66519,45.10950748,10999664,9243.113873
Ecuador,5645.19929,1.957575349,68056.47202,50.32142857,17588595,27460.31312
"Egypt, Arab Rep.",3571.556907,1.961122572,299778.6515,0.045185594,107465134,64402.91925
El Salvador,3961.726633,1.013280244,11063.80963,28.17953668,6292731,3269.495506
Equatorial Guinea,6198.942524,2.725730852,9542.961347,87.28770053,1596049,4778.315427
Eritrea,..,0.198657543,6242.48957,8.71821524,3555868,3732.241915
Eswatini,3372.90461,0.972087528,3000.932259,28.92790698,1180655,1326.034028
Ethiopia,918.6525941,0.154431772,167300.0199,15.12398953,117190911,94645.58072
Fiji,4815.689148,1.117096288,1764.367631,62.39846743,920422,443.648987
French Polynesia,19185.69777,..,..,43.05963699,301920,..
Gabon,6680.082665,2.333273575,14849.25845,91.32068149,2292573,7451.56422
"Gambia, The",704.0304628,0.237529599,2453.329037,23.97924901,2573995,1346.288478
Ghana,2176.576218,0.602887453,39070.28751,35.09693099,32180401,11847.91345
Grenada,8437.536782,2.624067021,2397.288523,52.05882353,123663,2046.858118
Guam,34780.86166,..,..,51.85185185,169231,..
Guatemala,4609.897258,1.000407336,33165.68015,32.92086599,16858333,10598.09932
Guinea,1073.659339,0.343646151,29745.6922,25.18720495,13205153,16813.30155
Guinea-Bissau,710.258133,0.163208369,2546.519289,70.4128734,2015828,1261.116221
Guyana,6863.074346,3.472771017,5282.035926,93.5501143,797202,1846.596396
Haiti,1283.141228,0.283815024,10267.23377,12.60159652,11306801,5203.617218
Honduras,2354.121434,0.872911172,21147.29453,56.83492716,10121763,7741.124153
"Hong Kong SAR, China",46109.22999,..,..,..,7481000,..
Indonesia,3895.618152,2.071658962,976487.6772,49.07178037,271857970,333994.9095
"Iran, Islamic Rep.",2746.419483,7.063351321,844649.4679,6.626730354,87290193,174641.9705
Iraq,4251.337253,3.84217782,261289.5283,1.900361184,42556984,85916.97036
Israel,44846.7916,6.345216004,83664.06603,6.469500924,9215100,9801.47314
Jamaica,4897.26475,2.069041808,7432.636336,55.11449677,2820436,825.92789
Japan,39986.92863,8.03149587,1094556.256,68.40877915,126261000,25783.31233
Jordan,3998.673138,1.919172426,33146.35261,1.098047165,10928721,6678.095787
Kenya,1936.250755,0.374079219,80188.01667,6.344818498,51985780,37602.48554
Kiribati,1403.993853,0.449933973,88.571671,1.456790123,126463,23.209951
"Korea, Dem. People's Rep.",..,2.027148619,76079.90868,50.07964455,25867467,18145.48138
"Korea, Rep.",31721.29891,10.99002958,659329.6994,64.41598361,51836239,21990.13017
Kuwait,24297.7108,21.16961025,135896.7903,0.350729517,4360444,22640.62617
Lao PDR,2593.355097,2.620283441,30491.44478,71.9042461,7319399,8011.314315
Lebanon,5599.957523,3.792193537,28947.43775,14.01075269,5662923,3459.013432
Lesotho,917.3563813,1.025642163,4013.753971,1.137022398,2254100,998.828453
Liberia,597.5296919,0.231838924,2155.394887,79.08471761,5087584,338.868895
Libya,7034.658364,6.682805471,75370.28088,0.123327688,6653942,24033.12005
"Macao SAR, China",37474.73459,..,..,..,676283,..
Madagascar,462.4042288,0.097269541,30566.42841,21.36440358,28225177,19021.93937
Malawi,622.1845913,0.084636158,11982.42756,23.77704709,19377061,4389.696958
Malaysia,10164.34443,7.383715412,302088.6631,58.17695937,33199993,37175.59793
Mali,822.9061368,0.195565971,43491.51296,10.89666363,21224040,23070.48212
Malta,29597.63616,3.125557893,2082.169141,1.4375,515332,228.28561
Marshall Islands,5545.600267,2.533803239,164.923162,52.22222222,43413,31.91103
Mauritania,1836.292411,0.855176406,14056.36818,0.30348307,4498604,6896.748571
Mauritius,9011.042884,2.938514108,6435.739403,19.41412118,1266014,1973.725821
Mexico,8894.89065,3.040766375,592321.1717,33.79309139,125998302,143480.8889
"Micronesia, Fed. Sts.",3639.412699,0.958913885,194.111345,92.02857143,112106,52.686594
Mongolia,4041.174146,6.430645335,53921.45499,9.099658488,3294335,18159.40469
Morocco,3258.269043,1.818526387,88027.79761,12.86688326,36688772,12029.80502
Mozambique,456.581929,0.222767553,33749.36732,46.72519647,31178239,16255.45655
Myanmar,1479.613689,0.634080348,128949.3985,43.73403098,53423198,72110.01694
Namibia,4252.04172,1.588045147,13560.37867,8.06386571,2489098,5335.779671
Nauru,10124.70062,3.361753959,47.328063,0,12315,4.291393
New Caledonia,34877.63563,..,..,45.84354486,271080,..
New Zealand,41760.59478,6.160799183,80158.02583,37.57012647,5090200,32241.937
Nicaragua,1876.607378,0.678252104,18448.51145,28.31585508,6755895,9584.807309
Niger,564.8416623,0.090325578,44795.82741,0.852372306,24333639,28579.35341
Nigeria,2074.613747,0.537510175,322336.5011,23.74578653,208327405,151059.7744
Northern Mariana Islands,17302.92214,..,..,52.95652174,49587,..
Oman,16707.62301,15.636201,95082.40834,0.008077544,4543399,19838.88305
Palau,14349.31682,8.802581794,195.78888,90.02173913,17972,19.526302
Panama,13293.3332,2.231443025,17231.02452,56.80560798,4294396,5047.340489
Papua New Guinea,2446.084687,0.563251566,18397.91713,79.17625756,9749640,10854.74217
Paraguay,5353.348065,1.144591192,50784.02825,40.52922225,6618695,30106.5439
Peru,6063.626923,1.398566019,89865.35382,56.50810156,33304756,31679.81165
Philippines,3224.422811,1.189679452,224971.7625,24.10903176,112190977,65722.00682
Puerto Rico,31427.42911,..,..,55.95603157,3281557,..
Qatar,52315.66008,31.72684245,119605.3672,0,2760385,30708.39042
Rwanda,773.7732609,0.10512414,6329.924675,11.18767734,13146362,2680.924714
Samoa,4042.722752,0.960782398,538.887695,58.15467626,214929,267.323935
Sao Tome and Principe,2155.265868,0.64535014,179.72515,54.0625,218641,11.596147
Saudi Arabia,20398.06099,14.26658537,712585.402,0.454484135,35997107,102630.5123
Senegal,1492.475903,0.649800561,30293.27863,41.90598868,16436120,11762.77345
Seychelles,12020.02106,6.080518373,770.061638,73.26086957,98462,94.696179
Sierra Leone,493.4322406,0.127277607,5952.4739,35.11886949,8233970,3591.093856
Singapore,61273.99166,7.686683702,64266.74268,21.68523677,5685807,4347.650851
Sint Maarten (Dutch part),29223.06962,..,..,10.88235294,42310,..
Solomon Islands,2222.462119,0.323065549,835.240357,90.13826367,691191,416.003048
Somalia,556.578066,0.039934653,26272.10205,9.532311028,16537016,18752.05737
South Africa,5753.066494,6.687563147,501520.8805,14.05509072,58801927,72213.21514
South Sudan,..,0.164309137,56051.36036,11.32562151,10606227,32385.92039
St. Kitts and Nevis,18553.65714,4.848662944,334.464112,42.30769231,47642,82.070818
St. Lucia,8951.524766,2.785139229,850.806942,34.04918033,179237,272.859517
St. Martin (French part),..,..,..,24.8,32553,..
St. Vincent and the Grenadines,8306.360493,2.100695772,302.420156,73.17948718,104632,67.776175
Sudan,608.3325195,0.467953928,107114.2127,9.828452891,44440486,55887.39611
Suriname,4796.533314,4.285076557,4312.425111,97.41211538,607065,1415.671617
Syrian Arab Republic,537.0902346,1.214802484,47112.47483,2.843108425,20772595,15963.67267
Tanzania,1104.164429,0.233945592,89255.44823,51.64258298,61704518,46487.36706
Thailand,7001.78546,3.714255806,433773.458,38.89878447,71475664,75892.78006
Timor-Leste,1663.559629,0.343155166,5537.128706,61.94351042,1299995,4794.894791
Togo,886.6995115,0.286061844,8395.488807,22.23331495,8442580,3039.881913
Tonga,4605.970841,1.122047618,268.338502,12.43055556,105254,92.338189
Trinidad and Tobago,13705.90023,10.15711917,26480.71295,44.48148148,1518147,6667.330375
Tunisia,3497.719027,2.408622528,40882.99745,4.523236354,12161723,6653.819385
Turks and Caicos Islands,20882.26127,..,..,11.07368421,44276,..
Tuvalu,4674.911403,0.596259825,21.742689,33.33333333,11069,11.574492
Uganda,846.8811992,0.127793035,39280.05175,11.65918612,44404611,21178.67916
United Arab Emirates,37629.17417,20.25227168,249927.7494,4.467755562,9287289,56944.70537
United States,63528.6343,13.03282795,5505180.89,33.86692641,331511512,748241.4029
Uruguay,15650.4993,1.89971905,35994.19321,11.60438807,3429086,20393.59933
Vanuatu,2917.756849,0.389174968,588.659649,36.28383921,311685,374.327533
"Venezuela, RB",..,2.545027978,194259.7019,52.41301514,28490453,97594.23488
Viet Nam,3586.347176,3.676440088,470578.1002,46.71900175,96648685,79619.23803
Virgin Islands (U.S.),39411.04525,..,..,56.88571429,106290,..
West Bank and Gaza,3233.568638,..,..,1.684385382,4803269,..
"Yemen, Rep.",578.5120102,0.308514614,24391.15073,1.039831809,32284046,10542.15376
Zambia,956.831729,0.401902713,36107.82044,60.28333714,18927715,15448.75233
Zimbabwe,1372.696674,0.530483547,25988.12599,45.09391237,15669666,12060.82302
Afghanistan,512.0550982,0.223478872,31119.04539,1.852781994,38972230,16222.03596
Albania,5343.037704,1.544550115,8304.29494,28.7919708,2837849,2692.195886
Andorra,37207.23887,5.777147992,577.573639,34.04255319,77700,53.600959
Armenia,4505.867742,2.404683762,10422.04117,11.5374078,2805608,2319.921617
Austria,48789.49785,6.632645737,71017.8287,47.25096946,8916864,6863.078458
Azerbaijan,4229.910649,3.398849573,55351.99383,13.69418968,10093121,15733.13101
Bangladesh,2233.305901,0.510647559,206570.3527,14.46877161,167420951,88903.99717
Belarus,6542.86454,5.842407296,87868.32147,43.19440339,9379952,17079.26291
Belgium,45609.00349,7.398130658,100063.4878,22.76420079,11538604,7974.086619
Bhutan,3181.339747,1.340054317,1630.8557,71.44939696,772506,451.523887
Bosnia and Herzegovina,6095.104237,6.312305874,26053.3501,42.73261719,3318407,3660.954549
Bulgaria,10148.3424,4.923280379,46492.85461,35.86035372,6934015,6980.496622
Channel Islands,57339.52687,..,..,5.151515152,171113,..
Croatia,14269.90885,3.860705392,21379.32606,34.65171551,4047680,3668.675985
Cyprus,28281.42578,5.471998009,8109.206812,18.67207792,1237537,749.702555
Czechia,22992.87938,8.304017496,108308.4176,34.67799193,10697858,12381.5937
Denmark,60836.59241,4.691237308,41135.55451,15.711,5831404,7778.773921
Estonia,23595.24368,5.338399816,10198.8019,57.03859649,1329522,1097.115979
Faroe Islands,62234.96868,..,..,0.058565154,52415,..
Finland,49169.71934,6.570145128,47740.49323,73.72836744,5529543,4506.322031
France,39179.74426,3.953682452,376006.2454,31.50904837,67571107,58451.48747
Georgia,4255.742993,2.754709196,17669.44862,40.61591596,3722716,5133.092908
Germany,46749.47623,7.255221028,692750.7552,32.68267552,83160871,46917.60037
Gibraltar,..,..,..,0,32709,..
Greece,17617.29151,4.767184937,69283.30669,30.26997673,10698599,9405.825274
Greenland,54693.07668,..,..,0.000535997,56367,..
Hungary,16125.60941,4.591652907,59596.52966,22.49627438,9750149,6956.244958
Iceland,58848.41812,3.947465365,2653.430657,0.509273034,366463,515.164553
India,1913.219733,1.576093232,3200820.626,24.27022827,1396387127,697654.6707
Ireland,85973.08849,6.76822759,59497.73471,11.35172013,4985382,15252.82463
Isle of Man,79530.60548,..,..,6.070175439,84046,..
Italy,31922.91916,4.732372771,352128.8891,32.34893496,59438851,43888.65304
Kazakhstan,9121.636409,11.29774331,294805.9457,1.279653295,18755666,69749.45146
Kosovo,4310.934002,..,..,..,1790133,..
Kyrgyz Republic,1256.929226,1.37997538,16093.54198,6.858081335,6579900,4864.996701
Latvia,18096.20271,3.645612168,11436.59559,54.80941668,1900449,1952.810529
Liechtenstein,165287.1868,3.663847998,157.560064,41.875,38756,2.588257
Lithuania,20381.85578,4.184000415,19784.73208,35.14851485,2794885,2998.360922
Luxembourg,116905.3704,12.45695323,8813.977022,34.45382721,630419,555.763012
Maldives,7216.816371,2.826385298,1994.511834,2.733333333,514438,137.66522
Moldova,4376.242493,3.267846368,12985.65753,11.75322187,2635130,3287.202022
Monaco,182537.3874,..,..,0,36922,..
Montenegro,7677.371321,4.067560912,3764.437423,61.48698885,621306,783.237121
Nepal,1139.189892,0.509366247,45868.55644,41.59072201,29348627,23643.67208
Netherlands,52162.57012,7.471553479,155912.4883,10.97416097,17441500,15200.5766
North Macedonia,5965.450232,3.279420187,9768.859944,39.71015067,2072531,2369.77411
Norway,68340.0181,6.72508005,46116.8172,33.43535968,5379475,4342.761259
Pakistan,1322.314785,0.810360216,436608.9225,4.833307389,227196741,169428.2367
Poland,15816.8204,7.367563373,338383.8449,30.9770359,37899070,29540.38185
Portugal,22242.40642,3.784907587,55640.70734,36.15499489,10297081,11383.20988
Romania,13047.45666,3.564137501,95744.39542,30.11582928,19265250,16458.96123
Russian Federation,10194.44141,11.23228807,2331479.378,49.78433608,144073139,617227.2995
San Marino,45321.48922,..,..,16.66666667,34007,..
Serbia,7733.803469,6.714517172,62883.94612,32.37780949,6899126,11734.80539
Slovak Republic,19552.09111,5.319054808,35984.33182,40.05615641,5458827,4410.301876
Slovenia,25558.42905,5.934735179,15286.67677,61.47225919,2102419,1697.1412
Spain,26984.29628,4.279594571,270310.9717,37.17730549,47365655,39703.22586
Sri Lanka,3852.389091,0.996683243,35117.25456,34.15809893,21919000,8377.671174
Sweden,52837.90398,3.242989143,45458.82211,68.69907031,10353442,4792.09356
Switzerland,85897.78433,4.042072815,43987.63547,32.12153594,8638167,4975.239558
Tajikistan,852.3302296,0.977533024,17692.28592,3.053534116,9543207,5520.881442
Turkiye,8638.739133,4.885863926,504956.3259,28.8714837,83384680,50444.76645
Turkmenistan,7330.366288,10.1840863,194091.8305,8.782159045,6250438,124818.6445
Ukraine,3751.737305,3.753816189,227341.5857,16.72419745,44132049,32317.87499
United Kingdom,40217.00901,4.601142251,398323.6546,13.18563221,67081234,50415.67463
Uzbekistan,1759.307471,3.376303785,187520.3945,8.373221378,34232050,53601.94309
