Country Name,GDP per capita,Total greenhouse gas emissions,Forest area
Afghanistan,..,11630.79506,1.852781994
Albania,617.2304355,11181.07427,28.78832117
Algeria,2431.55136,122219.4894,0.69990847
American Samoa,..,..,90.35
Andorra,19208.67838,430.703269,34.04255319
Angola,949.9213555,43185.60921,63.57807011
Antigua and Barbuda,7255.406303,358.408496,22.97727273
Argentina,4330.968191,249188.7612,12.86371493
Armenia,634.5673276,24389.02825,..
Aruba,11638.73371,..,2.333333333
Australia,18248.94071,490531.2507,17.42735899
Austria,21680.98962,76630.27662,45.75460494
Azerbaijan,1238.271893,75481.47959,..
"Bahamas, The",11696.51137,2183.995157,50.93506494
Bahrain,8174.797232,15950.83482,0.31884058
Bangladesh,294.9046524,91841.25556,14.75247753
Barbados,7772.808757,3128.995934,14.65116279
Belarus,..,142017.9433,..
Belgium,20600.37528,130784.8565,..
Belize,2988.60482,6521.858891,70.1459886
Benin,381.8050563,4047.791367,42.88001064
Bermuda,26841.51974,..,18.51851852
Bhutan,515.2997216,862.080394,53.65066455
Bolivia,685.9427177,30871.86234,53.35984492
Bosnia and Herzegovina,..,30258.58061,..
Botswana,2825.724781,12787.36293,33.17929173
Brazil,3065.242357,592496.8304,70.45802056
British Virgin Islands,..,..,24.73333333
Brunei Darussalam,13440.66929,4729.264158,78.36812144
Bulgaria,2366.529821,98303.01841,30.07321703
Burkina Faso,339.6318225,11113.27877,28.20394737
Burundi,206.4449283,1507.640349,10.76635514
Cabo Verde,841.8050176,312.412261,3.816377171
Cambodia,..,16129.67076,62.34302062
Cameroon,1077.333545,22792.04228,47.597893
Canada,21525.86114,543049.4519,38.84551156
Cayman Islands,..,..,54.70833333
Central African Republic,512.850879,16649.89732,37.24517641
Chad,298.3670792,14595.47821,5.344663278
Channel Islands,..,..,4.191919192
Chile,2483.560862,45415.91931,20.50490093
China,347.5783659,3238858.656,16.73800655
Colombia,1467.547436,124703.6395,58.54721947
Comoros,996.5280531,258.076718,24.75013434
"Congo, Dem. Rep.",259.237092,38391.29991,66.44273395
"Congo, Rep.",1173.264436,10143.19831,65.34407028
Costa Rica,1808.495959,8492.885741,56.9408539
Cote d'Ivoire,906.4115132,9027.642098,24.68823899
Croatia,..,28569.6077,..
Cuba,2695.614865,54701.05486,19.16201117
Curacao,..,..,..
Cyprus,9641.575195,5440.329468,17.43614719
Czechia,3941.503094,184942.4971,..
Denmark,26891.44645,69121.51836,13.286
Djibouti,783.6958542,912.456036,0.241587575
Dominica,2899.060601,189.257789,67.08
Dominican Republic,992.2389642,15759.75316,33.01366177
Ecuador,1458.326346,37539.07263,52.85439243
"Egypt, Arab Rep.",751.1874902,138196.7387,0.044010247
El Salvador,897.5929821,6857.134022,34.69498069
Equatorial Guinea,240.832676,179.349286,96.22638146
Eritrea,..,3678.342635,..
Estonia,..,39142.67466,..
Eswatini,1305.24553,2831.398118,26.81046512
Ethiopia,254.2952546,66869.2446,18.5363851
Faroe Islands,20236.42893,..,0.05730659
Fiji,1713.180631,1727.324622,51.43349754
Finland,28364.64508,70363.50265,71.81893693
France,21865.55525,496236.894,26.36394517
French Polynesia,15728.7188,..,39.46174863
Gabon,6055.060247,12620.26561,92.21725463
"Gambia, The",304.707688,4274.708319,40.9743083
Georgia,1561.849229,49720.01718,..
Germany,22303.96133,1129742.508,32.36616733
Ghana,381.2464191,11517.41337,43.61545223
Gibraltar,..,..,0
Greece,9600.185235,95288.73758,25.59
Greenland,18326.9295,..,0.00064384
Grenada,2807.745444,1843.497447,52.05882353
Guam,..,..,44.44444444
Guatemala,845.3148767,11294.17401,44.61739455
Guinea,419.6868059,8284.744216,29.61093928
Guinea-Bissau,250.5898464,1407.375898,79.42140825
Guyana,530.8175214,2291.315889,94.499111
Haiti,447.0962904,5331.60407,13.89404935
Honduras,974.2294838,11334.65097,62.45222987
"Hong Kong SAR, China",13485.63145,..,..
Hungary,..,89525.12001,20.18359853
Iceland,25384.91502,3347.741125,0.170274314
India,368.7497594,1237962.799,21.50484833
Indonesia,582.6789677,468362.6054,65.43771425
"Iran, Islamic Rep.",2237.052261,320858.7007,5.572374076
Iraq,10216.56881,103704.0345,1.838260512
Ireland,14031.30257,56752.35957,6.701117724
Isle of Man,..,..,6.070175439
Israel,..,44103.52689,6.099815157
Italy,20825.78422,483327.0481,25.80582095
Jamaica,1919.795357,8991.10227,48.13296399
Japan,25801.39504,1181858.796,68.43115743
Jordan,1195.225836,18609.45169,1.10494107
Kazakhstan,1647.41964,298754.678,..
Kenya,370.1001417,35102.28384,6.779597287
Kiribati,571.4990747,40.071883,1.456790123
"Korea, Dem. People's Rep.",..,154776.867,57.40411926
"Korea, Rep.",6609.997283,280644.328,67.91416131
Kosovo,..,..,..
Kuwait,11002.06562,39339.36468,0.193602694
Kyrgyz Republic,609.1728912,32425.55016,..
Lao PDR,200.6191481,6798.521481,77.30935875
Latvia,..,25763.45465,..
Lebanon,789.8503921,7272.535427,13.65591398
Lesotho,331.5237678,2968.466485,1.137022398
Liberia,..,842.896991,88.5095515
Libya,6821.874017,80127.40463,0.123327688
Liechtenstein,49418.01552,201.879109,40.625
Lithuania,..,46012.59207,..
Luxembourg,33465.47821,12192.61792,..
"Macao SAR, China",9269.648637,..,..
Madagascar,330.8435257,25036.83837,23.54687554
Malawi,286.9165596,3264.095627,37.14149342
Malaysia,2513.241395,79483.01156,62.75604931
Maldives,955.9336667,202.690508,2.733333333
Mali,299.8216158,15402.27391,10.89666363
Malta,7191.923603,2527.656934,1.09375
Marshall Islands,1704.258692,25.086394,..
Mauritania,751.1934824,6580.528913,0.461860871
Mauritius,2506.184877,2304.87263,20.23152709
Mexico,3196.920061,409784.5411,36.31351115
"Micronesia, Fed. Sts.",1492.855187,7.616981,..
Moldova,..,38140.30415,..
Monaco,81813.01979,..,0
Mongolia,1184.762914,30683.80087,9.274680548
Montenegro,..,4487.55672,..
Morocco,1219.424438,36790.4989,12.29058929
Mozambique,..,18384.20243,55.16162669
Myanmar,52.74855566,54226.40894,60.00930318
Namibia,2037.910472,..,10.65137436
Nauru,..,130.235058,0
Nepal,184.9236477,21188.03518,39.66433566
Netherlands,21290.86038,205817.5754,10.22896919
New Caledonia,14800.79125,..,45.4666302
New Zealand,13663.02162,71127.95079,35.59405264
Nicaragua,238.7650098,9508.018498,53.1769985
Niger,419.6038954,12825.53035,1.535485908
Nigeria,567.5179022,233668.5778,29.1249053
North Macedonia,2299.044329,13899.89975,..
Northern Mariana Islands,..,..,..
Norway,28242.9814,46087.62826,33.21615139
Oman,6475.41707,20177.7082,0.009693053
Pakistan,346.6685155,160495.1617,6.468957555
Palau,..,12.622286,..
Panama,2626.14328,7768.88704,61.97740113
Papua New Guinea,833.0536633,6317.489165,80.37733516
Paraguay,1431.8392,32392.98337,64.298666
Peru,1194.548315,44386.14919,59.72542188
Philippines,820.4871803,95359.11071,26.08850656
Poland,1731.209509,422343.8952,28.9986614
Portugal,7884.617988,56208.04725,37.14754098
Puerto Rico,8652.507492,..,36.11386697
Qatar,16664.83143,16237.32718,0
Romania,1648.48523,223413.9697,27.77850447
Russian Federation,3494.062988,2969778.402,..
Rwanda,348.3878303,2744.880746,12.84961492
Samoa,747.7808483,332.043347,62.23674912
San Marino,..,..,16.66666667
Sao Tome and Principe,..,60.176025,61.0625
Saudi Arabia,7349.703435,239708.4155,0.454484135
Senegal,980.7545621,12410.99743,48.32057342
Serbia,..,82471.42823,..
Seychelles,5642.072897,218.390392,73.26086957
Sierra Leone,150.1932538,3103.884924,43.31809365
Singapore,11861.75616,30891.22276,22.12970149
Sint Maarten (Dutch part),..,..,..
Slovak Republic,2405.53516,66676.29942,..
Slovenia,..,17299.0812,..
Solomon Islands,662.852836,382.923627,90.92211504
Somalia,131.023239,24533.67538,13.20256958
South Africa,3160.878161,327848.562,14.95527125
South Sudan,..,27694.53952,..
Spain,13804.87679,275616.0461,27.84050136
Sri Lanka,466.8976566,23708.9147,37.47934939
St. Kitts and Nevis,5346.472568,187.607755,42.30769231
St. Lucia,4073.264627,905.518408,34.86885246
St. Martin (French part),..,..,..
St. Vincent and the Grenadines,2136.839516,155.883758,70.61538462
Sudan,1301.819092,48809.26411,12.93236953
Suriname,940.9917724,2816.594522,98.57455128
Sweden,30593.67244,68991.81954,68.89335854
Switzerland,39574.53981,52841.49768,29.18090822
Syrian Arab Republic,1926.384607,71150.6085,2.024594624
Tajikistan,485.3198618,17818.96324,..
Tanzania,167.1445465,39162.98575,64.78890269
Thailand,1545.276982,157976.9157,37.8966118
Timor-Leste,..,446.655,64.76798924
Togo,420.1367014,3542.386398,25.03511675
Tonga,1150.281297,253.824054,12.43055556
Trinidad and Tobago,4001.522284,20630.57438,47.18518519
Tunisia,1456.224489,21698.98866,4.145062436
Turkiye,2773.269759,205436.3401,25.70518301
Turkmenistan,806.3913503,153459.0073,..
Turks and Caicos Islands,..,..,11.07368421
Tuvalu,961.0916948,16.955085,33.33333333
Uganda,244.7540723,13173.18294,17.89434963
Ukraine,1532.504639,825869.7083,..
United Arab Emirates,26682.84981,78601.83891,3.44973247
United Kingdom,19095.467,749506.1766,11.48266027
United States,23888.60001,5855541.47,33.02230821
Uruguay,2983.244161,28636.01992,4.559478917
Uzbekistan,651.4192097,168028.2002,..
Vanuatu,1119.280015,481.674125,36.28383921
"Venezuela, RB",2461.039355,291512.1715,58.98305085
Viet Nam,96.71929574,73263.51694,28.80567759
Virgin Islands (U.S.),..,..,70.11428571
West Bank and Gaza,..,..,1.508305648
"Yemen, Rep.",945.3239017,16874.58611,1.039831809
Zambia,427.4064535,25447.64215,63.77809763
Zimbabwe,868.4901749,31983.42118,48.66661497
